"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
4.46151246989475,3.31525009608873,3.13272150893516,2.24250147423271,2.7180548975416,2.04703272484559,2.62467384653728,2.00337300129406,1.66876729552452,1.69973650953369,1.66471492080785,1.68652820717848,0.759424523060267,0.808906212458312
5.38230387923276,3.38720694072585,3.52788712445925,2.09977011788716,2.4298823147561,1.57356177594097,2.29532115843358,1.50963586182384,1.42969949993,1.34039788941145,1.41411160516699,1.31741208792994,0.595718945743196,0.570456459606432
4.4131760433711,3.34642202354387,3.49739490289632,2.56386828480431,3.4724731607079,2.5517826987937,3.05184860764812,2.34935876997845,1.94784659165567,1.99890274572572,1.94501621886001,1.98402156467657,0.687041535354445,0.736913629789085
4.52031172966945,3.29988517245294,2.90290228889162,2.03090808109769,2.19735201353451,1.69798273715273,2.1363694016829,1.66952607626661,1.35156476744348,1.40953792841742,1.34803140168143,1.39953388617065,0.671207625227374,0.736686934329701
4.39541075482703,3.37971286214785,3.60601681923554,2.67626295051369,3.22013175306664,2.49124986783393,2.86508540853028,2.32346602281039,1.82922164260802,1.94349862996798,1.82927403864547,1.93339072918866,0.531458546669921,0.580326206186293
4.90620548762618,3.41348120895691,3.89529101224907,2.64890068823388,3.15887049048424,2.28681815091288,3.07628489460448,2.24660357975969,1.95811485569407,1.95085728171923,1.94575145585731,1.92587402476869,1.10016019705554,1.12235222425329
4.00325685481432,3.15334040958781,3.40989546051543,2.61097885706544,2.31177111378102,2.06545468693723,2.29689150320974,2.05819619838012,1.46502209498411,1.70521864851679,1.465285657784,1.69928264042185,0.530997057048583,0.648048788488598
4.22339086011552,3.02051530421804,3.47438675617304,2.42690423550542,2.77812906188082,2.09008379328526,2.70281190914574,2.05403990537296,1.71629609474216,1.75702835235642,1.71159578289075,1.74276209264952,0.76332625999054,0.811348888282953
4.16854755747362,3.00240261216478,2.91935037623361,2.01141365625299,2.89870809437789,2.00139535544816,2.20278811346442,1.66651672978591,1.38761580834205,1.42704947185249,1.38321846604611,1.41579203347142,0.566240311519883,0.61405547129156
4.34222517268973,3.12161014151607,3.1535958907448,2.13664088835087,3.15158371665375,2.13566146596808,2.70713513035063,1.92073483171048,1.69985740099158,1.67063621124127,1.69506909672796,1.65614955347704,0.384453026976286,0.384218119492292
4.35408396098593,3.35098754592363,3.8221638888217,2.85119531080665,3.67865069452745,2.77756878321775,3.11406317076025,2.49106712530611,1.97901812115888,2.12824480005425,1.97870696124469,2.11682282707328,0.504261926378264,0.529477853203449
5.15174568453529,3.30172316081934,2.50525933695262,1.47377042355529,1.98384035390345,1.23264728982435,1.45241450701624,0.989405805478044,0.900177401436527,0.858227067939733,0.894307430581816,0.848517009513982,0.306162846402393,0.306192995263167
4.19776726567944,3.04360740061884,3.12170130591257,2.17935891572654,2.96481969626248,2.10612651869211,2.53554325841696,1.90779709601264,1.60618893866552,1.61458086994554,1.60333297489125,1.6029178871904,0.564525327401879,0.59882845710131
5.35519785609476,3.33929726648071,3.64985729579766,2.15155662467522,3.09682966757428,1.89248554691051,2.19761588213388,1.47827988230601,1.37149901754446,1.28512528780214,1.36507016626395,1.27192068408919,0.421995403120379,0.40367357040861
4.43273157388103,3.23063670150816,3.3683832933866,2.34912681792694,3.00638113319545,2.17493705942608,2.60362427102908,1.98352806224261,1.64724074541928,1.68668043568601,1.64499133705191,1.67550554188083,0.533522142875788,0.56302259818765
4.4069851546612,3.33082133272325,3.1875423517472,2.269177074693,2.45413739008018,1.9234341867522,2.26025729196617,1.83359549620485,1.42850868833554,1.52742822799521,1.4284616219202,1.5210225433083,0.353153299524254,0.387872965569892
