"","total_incidence","prevalence","API","bh_max","eta","covEDAT0","covITN0","effITN","covIRS0","effIRS","muC","muA","muU","percfail2018","percfail2019","percfail2020","EDATscale","covEDATi","ITNscale","covITNi","IRSscale","covIRSi","lossd","dm","cmda_1","cmda_2","cmda_3","tm_1","tm_2","tm_3","effv_1","effv_2","effv_3","vh","MSATscale","covMSATi","MSATsensC","MSATsensA","MSATsensU"
"32",0.0677156314337135,0.0599784308359004,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,95,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"33",0.0865003426699827,0.0803210929125517,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,0.25,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"34",0.0869042700903337,0.0807933054641838,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,3,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"35",0.115421063106456,0.0991128857854594,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,70,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"36",0.0865911258160486,0.0804428328855567,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"37",0.0864787393363563,0.0802920830569102,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,0.25,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"38",0.086995772396787,0.0808953507812603,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,3,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"39",0.0935715927109248,0.0849620588385586,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,70,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"40",0.0865911258160486,0.0804428328855567,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"41",0.0866367028240903,0.0804980464533086,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,15,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"42",0.0865911258160486,0.0804428328855567,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"43",0.0588557007193132,0.0728509361791274,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,1,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
