"","V1","V2"
"1",0.0864906695751869,0.0802295734123489
"2",0.086760860264481,0.0807912361223078
"3",0.0088205863623895,0.0303661659934245
"4",28.4255553651639,44.5531172370673
"5",0.0768057759518725,0.074111852787406
"6",0.100791029702653,0.0896373849284461
"7",0.0916700668640013,0.0881248419493515
"8",0.0857868569860835,0.0788838469872331
"9",0.0915946432096647,0.0881265557302787
"10",0.0859618107988154,0.0792140784850777
"11",1.97156143626855,1.67472307957841
"12",0.0418798230483564,0.0512285826785788
"13",0.0865911258160486,0.0804428328855567
"14",0.0859097790805025,0.0791036184146824
"15",0.110164232296319,0.0957078355778752
"16",0.0694950109569652,0.0693866110850375
"17",0.0712351393086951,0.0672234851461812
"18",0.22407294004268,0.201909988602756
"19",0.0581344612883345,0.0561075505131588
"20",0.616458689558794,0.559194379118069
"21",0.0440607240447754,0.0370901168530058
"22",0.874261107924245,0.926233636561521
"23",0.0864458103232537,0.0802068716124337
"24",0.086899981792973,0.0809300128463672
"25",0.0863388651710721,0.0801716731541535
"26",0.0867720358126506,0.0806371322323706
"27",0.0697989509950397,0.0640423186106209
"28",0.11282356864219,0.106047174827669
"29",0.0862471013101527,0.0800178263224839
"30",0.0881935825536586,0.0821815436467941
"31",0.097592138342547,0.0923789173500636
"32",0.0677156314337135,0.0599784308359004
"33",0.0865003426699827,0.0803210929125517
"34",0.0869042700903337,0.0807933054641838
"35",0.115421063106456,0.0991128857854594
"36",0.0865911258160486,0.0804428328855567
"37",0.0864787393363563,0.0802920830569102
"38",0.086995772396787,0.0808953507812603
"39",0.0935715927109248,0.0849620588385586
"40",0.0865911258160486,0.0804428328855567
"41",0.0866367028240903,0.0804980464533086
"42",0.0865911258160486,0.0804428328855567
"43",0.0588557007193132,0.0728509361791274
"44",0.0969627423660797,0.0833160001114436
"45",0.0867032692947206,0.0805658361742945
"46",0.0864798073659943,0.0803207251424707
"47",0.0866378224158299,0.0804935611250822
"48",0.0865444323195469,0.0803921473567981
"49",0.0866098522709437,0.0804629825942423
"50",0.0865723208144308,0.0804226036688578
"51",0.0702664242837761,0.0754368058490895
"52",0.125331324428768,0.0862421050063315
"53",0.141612904275911,0.0961798255695415
"54",0.12390419640683,0.0851901736569921
"55",0.140967813271323,0.0957527101967696
"56",0.0665935667733824,0.073503537816771
"57",0.0867054835060107,0.0805705960800898
"58",0.086527068682094,0.080371227776497
"59",0.0866734013423403,0.0805328628157711
"60",0.0865323172403176,0.0803784921108823
"61",0.0867026499174428,0.0805723199843779
"62",0.0865569417108001,0.080403078978742
"63",0.0870050903295231,0.0809134172490408
"64",0.0821812004319932,0.0750561400556847
"65",0.0865232875869926,0.0803557562624417
"66",0.0894126019127755,0.0834149243019496
"67",0.136455971652828,0.12253602978836
"68",0.0741009329523856,0.0699224451718913
"69",0.0976795456749273,0.0897357437682584
"70",0.0853585961590639,0.079410337031504
"71",0.106342321357993,0.0971605612477772
"72",0.077288093566548,0.0725766789459122
"73",0.0877768707660429,0.0816521870458922
"74",0.0763110709627433,0.0699634736979672
