"","detected_incidence","prevalence","API","bh_max","eta","covEDAT0","covITN0","effITN","covIRS0","effIRS","muC","muA","muU","percfail2018","percfail2019","percfail2020","EDATscale","covEDATi","ITNscale","covITNi","IRSscale","covIRSi","lossd","dm","cmda_1","cmda_2","cmda_3","tm_1","tm_2","tm_3","effv_1","effv_2","effv_3","vh","MSATscale","covMSATi","MSATsensC","MSATsensA","MSATsensU"
"1",0.836231114705947,0.938093095458779,1,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"2",0.865814168095518,0.950774796140046,30,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"3",0.538780782209054,0.805035752825084,10,15,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"4",0.77928233811652,0.960356792075475,10,25,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"5",0.849181770385852,0.943646751831172,10,20,5,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"6",0.849181770385852,0.943646751831172,10,20,60,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"7",0.876932357517758,0.984985043963685,10,20,30,10,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"8",0.714123919077821,0.768784782220337,10,20,30,50,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"9",0.953874488366773,0.984752639536088,10,20,30,25,50,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"10",0.624352243134747,0.865505994931838,10,20,30,25,90,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"11",0.915912169195184,0.977480762636779,10,20,30,25,70,20,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"12",0.66804035985018,0.84501761028427,10,20,30,25,70,50,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"13",0.849181770385852,0.943646751831172,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"14",0.686922265213387,0.873720821792239,10,20,30,25,70,30,90,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"15",0.849181770385852,0.943646751831172,10,20,30,25,70,30,0,5,1,1,1,5,15,30,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"16",0.849181770385852,0.943646751831172,10,20,30,25,70,30,0,25,1,1,1,5,15,30,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"17",0.835375827119591,0.937109549233818,10,20,30,25,70,30,0,15,0.5,1,1,5,15,30,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"18",0.861596531943055,0.958790322591061,10,20,30,25,70,30,0,15,10,1,1,5,15,30,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"19",0.850736207269202,0.94248464352049,10,20,30,25,70,30,0,15,1,0.5,1,5,15,30,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"20",0.711558721105153,0.922330653863172,10,20,30,25,70,30,0,15,1,20,1,5,15,30,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"21",0.879962028057951,0.956471567244273,10,20,30,25,70,30,0,15,1,1,0.5,5,15,30,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"22",0.364904799182715,0.768963858882408,10,20,30,25,70,30,0,15,1,1,20,5,15,30,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"23",0.835767250057257,0.938264908237044,10,20,30,25,70,30,0,15,1,1,1,2,15,30,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"24",0.869630328299777,0.951856266143595,10,20,30,25,70,30,0,15,1,1,1,10,15,30,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"25",0.849755733538296,0.943854974330273,10,20,30,25,70,30,0,15,1,1,1,5,7,30,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"26",0.848762721184803,0.943494868038666,10,20,30,25,70,30,0,15,1,1,1,5,20,30,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"27",0.884985813549695,0.955656744939957,10,20,30,25,70,30,0,15,1,1,1,5,15,15,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"28",0.78950698849332,0.923658358871633,10,20,30,25,70,30,0,15,1,1,1,5,15,45,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"29",0.849938428903681,0.943957660980714,10,20,30,25,70,30,0,15,1,1,1,5,15,30,0.25,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"30",0.845736304096573,0.942385284464779,10,20,30,25,70,30,0,15,1,1,1,5,15,30,3,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"31",0.849863300126901,0.934674708669301,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,60,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"32",0.849569482154935,0.958329816258604,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,95,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"33",0.849388895871001,0.9437377548979,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,0.25,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"34",0.848523003984555,0.943398302252299,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,3,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"35",0.786961288206754,0.928862442901971,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,70,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"36",0.849181770385852,0.943646751831172,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"37",0.849181770385852,0.943646751831172,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,0.25,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"38",0.849181770385852,0.943646751831172,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,3,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"39",0.849181770385852,0.943646751831172,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,70,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"40",0.849181770385852,0.943646751831172,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"41",0.849965717059906,0.94395900591597,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,15,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"42",0.849181770385852,0.943646751831172,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"43",0.849630873893015,0.943826448487853,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,1,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"44",0.849469352658452,0.943717700248476,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,12,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"45",0.848910611239572,0.943546588939945,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,30,50,50,9,10,11,75,80,92,90,1,90,99,87,4
