"","detected_incidence","prevalence","API","bh_max","eta","covEDAT0","covITN0","effITN","covIRS0","effIRS","muC","muA","muU","percfail2018","percfail2019","percfail2020","EDATscale","covEDATi","ITNscale","covITNi","IRSscale","covIRSi","lossd","dm","cmda_1","cmda_2","cmda_3","tm_1","tm_2","tm_3","effv_1","effv_2","effv_3","vh","MSATscale","covMSATi","MSATsensC","MSATsensA","MSATsensU"
"1",2.30820329967123,4.5251075731132,27.51517852908,12.963317304384,57.4662074889056,27.1524795424193,85.8530683349818,5.50337637891062,33.7077362230048,9.34934607706964,4.78456266841386,13.3402870614082,11.3576316932449,9.68571926467121,11.5395839011762,35.3216160228476,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"2",2.63908216211599,3.5644420798647,22.3731959378347,19.3274162849411,12.3540522903204,32.4495731107891,52.6471565384418,37.951454827562,55.0968849426135,9.12585727870464,0.56758673733566,5.78038464591373,10.2120102829067,9.77442256733775,9.95235261507332,15.9024720196612,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"3",2.684594661249,4.35326982750709,17.8533093046863,16.0762223461643,23.3635235391557,31.6539157927036,64.0156548842788,30.030004644068,26.325425254181,12.3528779298067,4.62487186049111,14.0534135207999,9.97212377400137,4.59104258567095,11.6365657292772,25.3074530255981,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"4",2.40867449831062,3.59764205315844,10.0567277676892,20.0859145494178,9.75633319583721,36.9877778086811,67.4571914132684,41.7131592088845,73.8743243739009,24.5054882997647,7.36747919674963,9.28547304985113,19.1321293155197,3.77971824817359,13.6308936229907,20.3786750603467,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"5",2.35940885598971,4.5819538419353,3.2047664464917,13.487365480978,15.6261829473078,28.3064438402653,50.4585067089647,12.9989737563301,57.7029269118793,11.523420731537,8.18401382712182,10.3600597188342,13.8338767493842,9.41547156311572,18.0561187255662,43.2849357440136,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"6",2.76487016961806,4.90764909135321,12.7405562554486,18.167334733298,15.4133342078421,29.1539913788438,77.1840279269964,29.8552151198965,78.1104722293094,13.9779456006363,9.67873376887292,13.9787438518833,3.55411238363013,8.44435509480536,12.8782551530749,27.2277497174218,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"7",2.43604355061303,3.79892799038792,11.118145795539,22.5543253764044,37.5564686500002,28.7275140080601,88.5950206872076,36.7443196719978,23.4200330427848,24.8755049379542,1.46164347976446,4.62577521987259,8.84589914092794,7.25550798885524,18.981662458973,30.9680553618819,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"8",2.49788125031464,3.57418366797294,16.9275001513306,18.5053394210991,43.1090085254982,39.6362369414419,72.1492820885032,49.8091688018758,15.1562002720311,23.0171699868515,7.3689692018088,12.2837663424434,18.5268931232858,3.77828438207507,10.8398833023384,17.1303709270433,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"9",2.60950792916533,4.49292325195098,28.8932921078522,17.1027397108264,58.2159009738825,33.4599159657955,76.5181099995971,41.4592121751048,43.7255571456626,15.9928727988154,6.8250461765565,18.9085601040861,10.1817956404993,4.16511241719127,15.6078086725902,42.8706332179718,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"10",2.22782215566607,4.06582031577289,23.1467004485894,12.7716400520876,31.269972990267,31.3579355366528,53.3395730704069,18.6967534129508,14.4451065547764,11.2353938026354,7.6800882187672,11.6996718388982,17.6780399869895,2.51321585848927,14.6132091670297,29.7287946729921,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"11",2.20131174852468,3.5474494352541,20.8747357437387,10.7890372839756,14.8604542342946,40.2457199804485,59.2476405203342,11.3302081543952,27.6918044057675,10.9183785645291,9.81871507200412,15.9748511534417,18.6253794472432,3.9412135258317,17.5864404889289,18.5718519520015,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"12",2.51838952370832,3.53695327977698,7.28601778508164,19.8695642768871,49.7283719829284,31.2837454490364,54.5048341620713,49.9506530642975,48.0041733803228,11.7075080610812,5.04015569575131,4.31079150980804,1.07779289095197,6.16567061282694,19.7372614494525,41.4070342783816,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"13",2.12164389684931,3.56704615946046,1.65964821912348,14.3858461745549,23.6899118905421,32.9899193253368,57.8701810538769,35.3354058822151,28.3530227188021,17.0889018615708,4.08633106306661,19.6004142578458,2.95653298485558,9.61194819770753,15.913599697873,37.7985160262324,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"14",2.47378365538871,3.70387241810386,25.0892718406394,16.46374250995,12.0574768166989,33.7155147828162,87.3908855114132,10.4735757224262,79.205736417789,17.7042310824618,3.73675378470216,5.27822869480588,19.9958490880672,8.2732973061502,18.8843558433,27.6816258346662,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
"15",2.55347202690764,4.43976372595858,8.51276502525434,14.7287246026099,52.97793174861,29.9236372392625,88.639668263495,16.414774103323,9.12697213701904,8.15381272695959,4.20344596414361,10.7965316195041,13.0108940128703,7.76846396736801,17.3126598661765,42.2251698584296,1,70,1,90,1,90,30,6,50,50,50,9,10,11,75,80,92,90,1,90,99,87,4
