"","varName","default","min","max"
"1","API","10","1","100"
"2","bh_max","20","0","80"
"3","eta","30","0","100"
"4","covEDAT0","25","0","100"
"5","covITN0","70","0","90"
"6","effITN","30","0","50"
"7","covIRS0","0","0","90"
"8","effIRS","15","0","25"
"9","muC","1","0","10"
"10","muA","1","0","100"
"11","muU","1","0","100"
"12","percfail2018","5","0","100"
"13","percfail2019","15","0","100"
"14","percfail2020","30","0","100"
"15","EDATscale","1","0.25","3"
"16","covEDATi","70","0","100"
"17","ITNscale","1","0.25","3"
"18","covITNi","90","0","90"
"19","IRSscale","1","0.25","3"
"20","covIRSi","90","0","90"
"21","lossd","30","15","30"
"22","dm","6","1","24"
"23","ka","2","1","8"
"24","delta","5","1","12"
"25","cmda_1","50","0","100"
"26","cmda_2","50","0","100"
"27","cmda_3","50","0","100"
"28","kf","45","15","60"
"29","ks","634","500","800"
"30","tm_1","9","1","36"
"31","tm_2","10","2","36"
"32","tm_3","11","3","36"
"33","effv_3","92","0","100"
"34","effv_4","92","0","100"
"35","MSATscale","1","0.25","3"
"36","covMSATi","90","0","100"
"37","MSATsensC","99","0","100"
"38","MSATsensA","87","0","100"
"39","MSATsensU","4","0","100"
