"","detected_incidence","prevalence","API","bh_max","eta","covEDAT0","covITN0","effITN","covIRS0","effIRS","muC","muA","muU","percfail2018","percfail2019","percfail2020","EDATscale","covEDATi","ITNscale","covITNi","IRSscale","covIRSi","lossd","dm","ka","delta","cmda_1","cmda_2","cmda_3","kf","ks","tm_1","tm_2","tm_3","effv_3","effv_4","MSATscale","covMSATi","MSATsensC","MSATsensA","MSATsensU"
"31",0.845090493214784,0.936388570524475,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,60,1,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"32",0.853683419612005,0.962941966027883,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,95,1,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"33",0.850955266202614,0.947894953403168,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,0.25,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"34",0.847267821936494,0.946593915472529,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,3,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"35",0.764121180981538,0.926110886702784,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,70,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"36",0.850273933637192,0.947641748296831,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"37",0.850273933637192,0.947641748296831,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,0.25,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"38",0.850273933637192,0.947641748296831,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,3,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"39",0.850273933637192,0.947641748296831,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,70,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"40",0.850273933637192,0.947641748296831,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"41",0.84975524878694,0.947500484520376,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,15,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
