"Base","Base","EDAT","EDAT","ITN","ITN","IRS","IRS","MDA","MDA","VAC","VAC","MSAT","MSAT"
2.7998545307696,4.99502104331781,4.90864837411422,3.58176868270839,4.56662797560948,3.41136046803146,4.06667469651287,3.16614169272925,2.76923069175087,2.74758669441238,2.76072287970798,2.69726123628087,0.843908321762252,0.810574587202309
2.80060308310499,4.99646171629217,5.78061215817166,2.98633315464557,5.13694886485893,2.79113287130216,4.63679179721008,2.6410377931471,2.95750657937826,2.16584645305588,2.76443848499337,1.82805095055584,0.767791265523098,0.515211850072578
2.79699992446311,4.98949436531663,4.85164175198206,3.60961299096826,4.57958782151799,3.46969518545239,4.31906210597122,3.33861974122698,2.13395347444315,2.67068108034568,2.13643374928921,2.65133895336978,0.717078028377784,0.879928766265362
2.79724444945695,4.98997705074645,4.89760380737823,3.58257992574989,4.39617870626783,3.33340582775448,3.93186200880245,3.10647996852316,1.92192673530525,2.43541531187379,1.90447836992984,2.32450645161558,0.804829546396442,0.964564217109741
2.79795032890715,4.99134602335295,4.59580592321134,3.79058964028232,4.1942911590001,3.55976121960885,3.87229268936578,3.37366392968336,2.55795596955677,2.92604793234287,2.54722849294564,2.87094001035597,0.999307714152261,1.09291020099342
2.80127668938823,4.99772939420318,5.32537915064358,3.30535068980914,4.56656425536082,3.00467980185326,4.41379717722083,2.94439313932205,2.26001972045272,2.30055497073886,2.20958837283864,2.10946447110238,1.05511321096947,0.985183517750496
2.80108785258668,4.99737945615252,5.19204914647063,3.40348629305693,4.75364600141276,3.21166084986154,4.31985616635121,3.02810011277534,2.50704620246311,2.47186847446224,2.51086675191504,2.45088260152824,0.738162744461154,0.713867153981412
2.79628950410523,4.98812049830801,4.64037829338275,3.74833141078324,3.98940311082841,3.38741871125069,3.8180641816163,3.29343825305274,2.58875311485703,2.86665548324037,2.56175111938286,2.76156643196641,1.08279725037489,1.14226716260862
2.7996261238679,4.9945815570758,5.05711751425634,3.46668248829033,4.77523796814003,3.33977581985804,4.36574935622007,3.15462612530395,2.18528626515995,2.49718511929077,2.15458183405425,2.3474595812114,0.870171543994702,0.925372181170868
2.80109404959079,4.99738985086054,4.98758358415866,3.53779986844579,4.60426964899515,3.3524123469542,4.18722963945915,3.15791797671095,2.87279299084071,2.7411918574129,2.8759157036413,2.71049436142455,0.862556722101004,0.813535439809137
