"Base","Base","EDAT","EDAT","ITN","ITN","MDA","MDA","VAC","VAC","MSAT","MSAT"
2.7998545307696,4.99502104331781,4.90864837411422,3.58176868270839,4.56662797560948,3.41136046803146,4.56309926668026,3.40037012772533,4.46233294343935,3.25232587135465,1.39429116518353,0.99811897171094
2.80060308310499,4.99646171629217,5.78061215817166,2.98633315464557,5.13694886485893,2.79113287130216,5.12932236805892,2.78059465799492,4.25597105484622,2.27432052164647,1.19612515481097,0.661177189681857
2.79699992446311,4.98949436531663,4.85164175198206,3.60961299096826,4.57958782151799,3.46969518545239,4.58418820109243,3.45978630860533,4.57460771969364,3.40827907478874,1.59713736148867,1.17088594935534
2.79724444945695,4.98997705074645,4.89760380737823,3.58257992574989,4.39617870626783,3.33340582775448,4.39676722016238,3.32297074505953,4.14555384562039,3.04990232734466,1.80132079000545,1.2966317224788
2.79795032890715,4.99134602335295,4.59580592321134,3.79058964028232,4.1942911590001,3.55976121960885,4.18441765515997,3.5347245869938,4.07677760865639,3.37055319881381,1.62491338890237,1.30354757017081
2.80127668938823,4.99772939420318,5.32537915064358,3.30535068980914,4.56656425536082,3.00467980185326,4.566833029898,2.99536216724824,4.18684583126025,2.66955516498918,2.03730496062231,1.27380900154351
2.80108785258668,4.99737945615252,5.19204914647063,3.40348629305693,4.75364600141276,3.21166084986154,4.7562296561325,3.20498621489666,4.74765004848562,3.15028110774132,1.45034916499227,0.94774344714781
2.79628950410523,4.98812049830801,4.64037829338275,3.74833141078324,3.98940311082841,3.38741871125069,3.99142227587321,3.3758121235338,3.85464201892444,3.17942050266119,1.65825495463001,1.33780587797943
2.7996261238679,4.9945815570758,5.05711751425634,3.46668248829033,4.77523796814003,3.33977581985804,4.77279791871974,3.3231537905692,4.40622454867883,2.97455447629037,1.81790531437247,1.2003235755077
2.80109404959079,4.99738985086054,4.98758358415866,3.53779986844579,4.60426964899515,3.3524123469542,4.60608132897158,3.34468893322713,4.5882462919476,3.27183240349355,1.41698419787382,1.00844854818931
2.79793320844737,4.9913121005891,5.20606191514446,3.36174920049992,4.7302978849785,3.16220715772172,4.73219116110069,3.15585234450134,4.49751093191738,2.9254820510809,1.2563129887182,0.820586630529106
2.80076918370671,4.99678068335545,5.64622538429104,3.08143028058837,4.96417965038646,2.85793470853742,4.92302630249653,2.82645873005576,3.60124052193912,2.09481295513561,1.42124592302926,0.846617250333196
2.79929230266193,4.99393851953198,4.80296232843142,3.63616014113318,4.19073163957677,3.32146374667053,4.1919966724,3.31305172507503,4.15029489598017,3.22785076464329,1.3707814609418,1.04540832781007
2.79692056081485,4.98935006574335,4.5757820560238,3.79113280104933,4.05332590212215,3.48728507907217,4.03998634227737,3.46020146119058,3.2217748520944,2.68301676628288,1.12939134544333,0.948545571484933
2.79778390855044,4.99102479775198,4.95947665264356,3.52491439429203,4.32819314407106,3.22629018488061,4.32146720722415,3.21208929239236,3.91467324957161,2.83385848426576,1.49730045437253,1.08966167021177
2.79935164198924,4.99405304872586,5.26899060848755,3.32534251326144,4.9947463714474,3.21447975253907,4.97045805004081,3.1917343448856,4.31643972384381,2.71138486569678,1.40211638832348,0.876599657958423
2.79825322768715,4.99193098998825,4.8519336694666,3.6231021670306,4.54954309449631,3.46717666096434,4.52709102108497,3.43707554293922,3.68700021839238,2.7235941439692,1.7340192563432,1.27629756457229
2.80004748487577,4.9953909767756,5.15292381162944,3.40566543352608,4.48675570889259,3.1174120377693,4.48924801032759,3.11275332221491,4.47725766223262,3.06967405583721,2.06736216861256,1.39164652626337
2.80026752310291,4.99581561400449,4.65060945425712,3.77100050878406,4.10970811909605,3.46234966942654,4.11278748885376,3.45329692173772,4.09683617775454,3.37224161196659,1.6936814229407,1.35009038892154
2.80036582383523,4.99600413330742,5.7754877980854,3.0002780633734,5.38565861001544,2.87809463061418,5.38431464288971,2.87359079847303,4.78394769987541,2.4919358264313,1.74313813087946,0.911995242505344
2.79920904074856,4.99377815579737,5.38912830016982,3.24814776728443,4.77596607418199,3.01590243165907,4.77840886829838,3.01101201483532,4.77413107684445,2.98076879606518,1.70325176256215,1.0630742328646
2.79810313520243,4.99164165640213,5.6391464537558,3.08896478895818,5.05244838778195,2.89088239366497,5.04636992038098,2.87953719798652,4.60952906531454,2.5860940741701,1.09629264503945,0.650177954655104
2.79870661707528,4.99280754610735,4.9486499976555,3.53630687484102,4.2963015906761,3.22788903784693,4.29796722446202,3.21755519818357,4.27017416631986,3.16485462135586,2.12249912877921,1.52544688181109
2.80096409483571,4.99715361722588,5.67801029840977,3.05713180387623,5.11844628790242,2.87640736267449,5.10627420891906,2.8625965646516,4.65998482821356,2.5597423227013,1.67588226388355,0.926086685940399
2.79749552186513,4.99046388321048,5.78831223120665,2.97130967766022,5.38890907641584,2.85099903334882,5.3909167533348,2.84443457326409,5.35812956693724,2.79644950927386,2.28722042650905,1.16677653920844
2.80043108710302,4.99613032025048,5.18093185792141,3.41238721338037,4.55749228319483,3.14176908437358,4.54289766744513,3.12259709554848,4.07986982396309,2.73450868737701,1.06667826111278,0.72919376804548
2.80005540586904,4.99540695538016,5.51438194026131,3.16507442669698,4.80708964888413,2.91647933013925,4.80943334243775,2.91044237251239,4.73254255369449,2.818594598729,1.17663703410259,0.707265213211768
2.79877906076332,4.99294556983124,5.62166665589911,3.09968211037611,5.23428111934541,2.96803152146617,5.23352111729875,2.95697787577964,5.16116984423636,2.86253223957026,1.73262785804637,0.962180196918089
2.80066817990182,4.99658727344966,5.70069050474698,3.04860955590707,5.22574075097085,2.89589532950318,5.22972241111441,2.89034562526668,5.21765077518179,2.85234948276376,2.07832277721552,1.10320733243985
2.79839277591313,4.99220085081266,4.53611002364964,3.83511779941514,4.23092146704357,3.65298423448175,4.20397376937017,3.61618167956311,3.75019579134187,3.13026448492963,1.51451925290504,1.23254874871523
2.79955136883737,4.99443493579952,4.92664939588822,3.55377925889185,4.27197274266315,3.23654105983072,4.25840247677704,3.21503794423937,3.48937036440406,2.56696166581214,0.857267161423993,0.669018846732265
