"","detected_incidence","prevalence","API","bh_max","eta","covEDAT0","covITN0","effITN","covIRS0","effIRS","muC","muA","muU","percfail2018","percfail2019","percfail2020","EDATscale","covEDATi","ITNscale","covITNi","IRSscale","covIRSi","lossd","dm","ka","delta","cmda_1","cmda_2","cmda_3","kf","ks","tm_1","tm_2","tm_3","effv_3","effv_4","MSATscale","covMSATi","MSATsensC","MSATsensA","MSATsensU"
"31",0.184098351613469,0.120209298083068,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,60,1,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"32",0.208524088126753,0.0840008004718023,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,95,1,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"33",0.191452468811219,0.106431433528178,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,0.25,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"34",0.192992583157345,0.107349382962664,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,3,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"35",0.262651430950951,0.131102312389969,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,70,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"36",0.191743569875701,0.106630411165449,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"37",0.191743569875701,0.106630411165449,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,0.25,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"38",0.191743569875701,0.106630411165449,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,3,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"39",0.191743569875701,0.106630411165449,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,70,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"40",0.191743569875701,0.106630411165449,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"41",0.192533481973614,0.10710841880246,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,15,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"42",0.191743569875701,0.106630411165449,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"43",0.193184960805486,0.107037679729286,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,1,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"44",0.190675526112158,0.1064181673121,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,12,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"45",0.191978875557939,0.106736503913932,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,1,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"46",0.19039664633461,0.106031825147132,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,8,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"47",0.151120679837201,0.087020838802092,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,1,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"48",0.216100328374041,0.118460452742437,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,12,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"49",0.192222082011233,0.10690365470767,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,30,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"50",0.191275677086973,0.106363177608156,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,70,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"51",0.192094022707183,0.106827206665048,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,30,50,45,634,9,10,11,92,92,1,90,99,87,4
"52",0.191399282812984,0.106437042063622,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,70,50,45,634,9,10,11,92,92,1,90,99,87,4
"53",0.192077295185128,0.106815308726993,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,50,30,45,634,9,10,11,92,92,1,90,99,87,4
"54",0.191414325767452,0.10644798798517,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,50,70,45,634,9,10,11,92,92,1,90,99,87,4
"55",0.227077683260787,0.124004820528125,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,50,50,15,634,9,10,11,92,92,1,90,99,87,4
"56",0.181864926438565,0.101816126982475,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,50,50,60,634,9,10,11,92,92,1,90,99,87,4
"57",0.199941615392666,0.110503464766673,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,50,50,45,500,9,10,11,92,92,1,90,99,87,4
"58",0.184385456633407,0.103169413839237,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,50,50,45,800,9,10,11,92,92,1,90,99,87,4
"59",0.191743569875701,0.106630411165449,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"60",0.191743569875701,0.106630411165449,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"61",0.191743569875701,0.106630411165449,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"62",0.191743569875701,0.106630411165449,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"63",0.191743569875701,0.106630411165449,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"64",0.191743569875701,0.106630411165449,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,4
"65",0.19468572190055,0.108102290264574,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,70,92,1,90,99,87,4
"66",0.190846502699526,0.106182506071306,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,99,92,1,90,99,87,4
"67",0.200852304967824,0.111066405623796,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,70,1,90,99,87,4
"68",0.189048462291567,0.105319820977495,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,99,1,90,99,87,4
"69",0.19157400235116,0.106520355268068,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,0.25,90,99,87,4
"70",0.197766222696782,0.10990762205943,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,3,90,99,87,4
"71",0.300940445562289,0.160660995623056,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,70,99,87,4
"72",0.164368161246431,0.0931252412271383,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,95,99,87,4
"73",0.216039654028844,0.118540519710914,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,90,87,4
"74",0.189041648807122,0.105306888300734,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,100,87,4
"75",0.235011444554094,0.128111365939259,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,70,4
"76",0.171355167041867,0.0965225823046706,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,95,4
"77",0.194338827298771,0.108256298584838,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,1
"78",0.169240755723762,0.0925427485200071,10,20,30,25,70,30,0,15,1,1,1,5,15,30,1,70,1,90,1,90,30,6,2,5,50,50,50,45,634,9,10,11,92,92,1,90,99,87,30
