"Off","Off","On","On"
4.06512047115919,3.15847994704282,1.27775348195536,0.971612958581719
4.63167001645899,2.63281079156337,1.33118557158187,0.757681933918494
4.32397101170785,3.33017750529823,1.51419003016696,1.14806580431617
3.93344096775553,3.09934721490641,1.72879425705378,1.32009143247216
3.86573707158338,3.35422938202429,1.5531795623249,1.29970669197994
4.41449298199286,2.93603803757112,2.18182552600069,1.39847812544334
4.32280203409353,3.02297453842405,1.32243721033845,0.912836446388598
3.82048350902331,3.2832145174146,1.66449813423345,1.3825619019263
4.36541296211195,3.14209209655093,1.83048059551952,1.26885245218952
4.18961464932925,3.15190978568404,1.2975612834717,0.97468492456941
4.36614335641611,3.00730320531855,1.23995163458837,0.845596359038472
4.45603830099281,2.67621788590151,1.7963690464964,1.0688089225125
3.92027254164308,3.17719295187882,1.30084027638437,1.02960000909855
3.72582160198582,3.28587133248092,1.35230177721613,1.16402264665821
4.06407657406965,3.09392583832067,1.58165409620426,1.18645744610957
4.65565938903932,3.06563001916943,1.54041679770088,0.985688915032199
4.06222973529707,3.20408689725454,1.95189051160674,1.50009524658229
4.2306580725115,3.00417192512021,1.95661065725844,1.36420821192795
3.91653890993284,3.34394181451137,1.62892546705845,1.34061891851226
4.95641692036927,2.74239708078525,1.8390004300232,0.999351548730494
4.58662989309591,2.9394220975146,1.63877200552271,1.04909878206202
4.74654028460197,2.78291881496986,1.14515137137901,0.695078400202294
3.86907857812464,3.01852438803227,1.92138230106781,1.45620097282407
4.88036124343131,2.79089277380104,1.77740976277356,1.00445665018189
5.0005572850047,2.72888425766795,2.13673387349897,1.13868296876088
4.20441519137981,2.98023654201999,1.13065561179927,0.799730402354089
4.64792291182653,2.85491634816032,1.16912969166848,0.719342024734088
5.00430835545099,2.88120235413725,1.69315967467104,0.968756689164945
4.98302428235528,2.81165465746932,1.98764839791515,1.08794667587282
3.9759605164906,3.48159569504231,1.6417818546435,1.37804786250801
3.9959650435606,3.09243563177817,1.02561647968007,0.807119400223545
3.9086016940595,3.26594022237799,0.911001544330907,0.768012608455595
4.90942357904827,2.69306290913783,1.87495424942171,1.00949391477292
4.62800981731734,2.71559032851726,1.8004331770472,1.05549471403825
4.56799499461242,3.1244715990078,1.28144939531816,0.875917157500347
4.52620092895019,2.7965294046654,1.94510336922826,1.18311186651523
4.32270581278089,3.07767199542644,1.0596781843245,0.745421149383661
4.50191596874363,2.94267545758247,1.61059140940349,1.02216912458038
4.71850343345273,2.87697223160521,1.31146321888459,0.815604926892917
4.6511671725421,3.10675161602237,1.8978012710896,1.24080350673764
3.7930274222277,3.23522001749304,1.71438663038389,1.40449948750402
4.39247118677729,2.86972313950548,1.04832482822861,0.699380349241296
4.10012314792428,3.19336707313857,1.34758648416006,1.0221751134504
4.55839286897722,2.68168386052475,2.0495319551799,1.182532104567
4.0303483623023,3.35769193143501,1.04796172955275,0.884126990861632
4.49888484939119,3.17933341490415,1.06480728770058,0.779280721148205
4.0236068389166,3.32221620256079,1.63401484632707,1.29645510967167
4.94373672782184,2.84707709528637,2.08256599659527,1.18869558882269
4.62439703774649,2.99850807853736,2.16611942456789,1.36774318388676
4.61878372976172,3.11116480158723,1.6347732478494,1.08283741463735
4.37850400113324,2.94324023179806,2.18269489783522,1.42908232723794
4.07044797246793,2.97667456920561,1.43822033681144,1.04636845292899
3.93028764331849,2.9835964442934,1.71565052125078,1.2817941807677
4.59620724148076,2.94248690087091,1.4949426693427,0.958287717759107
4.49870773115795,2.90077054219195,1.95322815184185,1.23154422800787
4.36459506275645,2.90641954099531,1.21645102329649,0.820309232715709
